phenotype	gene_id	gene_namespace	gene_symbol	source_count	weighted_source_sum	source_list	weight_tier_summary	evidence_semantics_summary	evidence_tier_summary	semantic_channel_summary	mapping_status_summary	targeted_gene_count	small_panel_count	medium_panel_count	large_panel_count	panel_unsized_count	exome_or_genome_count	unknown_scope_count
mitochondrial_disease	ENSG00000145020	ensembl_gene	AMT	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000174606	ensembl_gene	ANGEL2	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000103254	ensembl_gene	ANTKMT	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000100823	ensembl_gene	APEX1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000184831	ensembl_gene	APOO	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000155008	ensembl_gene	APOOL	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000004059	ensembl_gene	ARF5	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000081181	ensembl_gene	ARG2	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000213465	ensembl_gene	ARL2	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000170632|ENSG00000282813	ensembl_gene	ARMC10	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000126947	ensembl_gene	ARMCX1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000184867	ensembl_gene	ARMCX2	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000102401	ensembl_gene	ARMCX3	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000198960	ensembl_gene	ARMCX6	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000138138|ENSG00000283024	ensembl_gene	ATAD1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000197785	ensembl_gene	ATAD3A	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000160072	ensembl_gene	ATAD3B	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000166896|ENSG00000262145	ensembl_gene	ATP23	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000152234	ensembl_gene	ATP5F1A	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000110955	ensembl_gene	ATP5F1B	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000165629	ensembl_gene	ATP5F1C	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000099624	ensembl_gene	ATP5F1D	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000124172	ensembl_gene	ATP5F1E	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000130770|ENSG00000285390	ensembl_gene	ATP5IF1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000159199	ensembl_gene	ATP5MC1	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000135390	ensembl_gene	ATP5MC2	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000154518	ensembl_gene	ATP5MC3	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000173915	ensembl_gene	ATP5MD	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000169020	ensembl_gene	ATP5ME	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000241468	ensembl_gene	ATP5MF	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
